Цветохвостник яванский
Паутинник ярко-красный
Мицена клейкая
Дальдиния концентрическая
Белонавозник Бедхэма
Лерациомицес церера
Траметес горбатый
Цистодерма зернистая
Гельвелла Келе
Негниючник тычинковый
Сизигоспора гриболюбивая
Илеодиктион изящный
Ивишень однородный
Псевдогигроцибе лисичковая
Гнездовка бесформенная
Навозник лесной
Негниючник сухой
Гигроцибе дубовая
Вольвариелла вольвовая
Трихаптум лиственничный
Альбатреллус сирени
Тубария отрубистая
Подвалуй
Паутинник сизоножковый
Гигрофор лиственничный
Сморчок высокий
Меланолеука черно-белая
Трутовик Швейница
Ложноопёнок длинноногий
Гебелома углелюбивая
Трутовик зонтичный
Груздь водянистозоновый
Спарассис курчавый
Шампиньон полевой
Груздь золотисто-желтый
Паутинник голубовато-опоясанный
Рыжик еловый
Псилоцибе Монтана
Подберезовик розовеющий
Чешуйчатка разрушающая
Кринипеллис шероховатый
Кречмария обыкновенная
Мокруха жёлтоножковая
Оссикаулис древесинный
Чешуйчатка боровая
Ксеромфалина стеблевидная
Плютей клубневой
Гимнопил горький
Цератиомикса пориевая
Глиофор маслянистый
Лисичка аметистовая
Паутинник многообразный
Ежовик усиковый
Псатирелла каштановая
Меланолеука прямоногая
Чешуйчатка съедобная
Подосиновик желто-бурый
Масленок желтоватый
Лаковица аметистовая (Лаковица лиловая)
Трутовик клубненосный
Болетин болотный
Гебелома горчичная
Зонтик Моргана
Рядовка обособленная
Паутинник браслетчатый
Трюфель чёрный
Боровик Фехтнера
Обабок окрашенноногий
Вёшенка дубовая
Млечник буроватый
Рыжик (Рыжик настоящий)
Мокруха еловая
Полубелый гриб
Скрипица
Цезарский гриб (Мухомор цезаря)
Волнушка белая
Подмолочник
Трюфель белый
Волнушка розовая
Рядовка чешуйчатая
Гебелома опоясанная
Гимнопус водолюбивый
Аурикулярия густоволосистая
Серпула плачущая
Гомфус чешуйчатый
Денежка сливающаяся
Строфария чёрноспоровая
Плютей белый
Вёшенка покрытая
Бокальчик гладкий
Паутинник блистательный
Гиднеллум ржавчинный
Мицена волосистая
Аллоклавария пурпуровая
Паутинник кроваво-красноватый
Мицена Рене
Трюфель Бургундский
Трихия обманчивая
Феоклавулина пихтовая
Весёлка Равенелли
Микропорус желтоножковый
Феллинус ржаво-бурый
Рыжик неяркий
Глеофиллум бревенчатый
Хоенбюелия серая
Гумария полушаровидная
Митрула болотная
Феллинус сглаженный
Чешуйчатка вощёная
Геопора сосновая
Сморчок настоящий
Зонтик девичий
Трутовик настоящий
Боровик пороспоровый
Домовой гриб
Дрожалка фукусовидная
Трюфель летний (Трюфель чёрный русский)
Вороночник рожковидный
Энтолома ядовитая
Ризопогон обыкновенный
Трутовик лакированный (Гриб Рейши)
Навозник мерцающий
Лепиота гребенчатая (Зонтик гребенчатый)
Лисичка серая
Шампиньон августовский
Аурикулярия уховидная (Иудино ухо)
Шапочка сморчковая
Белошампиньон длиннокорневой
Паутинник превосходный
Волоконница патуйяра
Лаковица двухцветная
Кордицепс серо-пепельный
Кордицепс офиоглоссовидный
Гетеробазидион многолетний
Калоцера роговидная
Эксидия чернеющая
Цистодерма амиантовая
Гимнопил желтопластинчатый
Дедалеопсис трехцветный
Лопастник упругий
Плютей золотистожилковый
Глеофиллум продолговатый
Трутовик облепиховый
Геопора песчаная
Болетопсис бело-чёрный
Цитидия ивовая
Ксилодон скребковидный
Решеточник колоннообразный
Фламмуластер скошенный
Постия складчатобрюхая
Моховик зелёный
Маслёнок настоящий
Груздь осиновый (Груздь Тополевый)
Панеолус мотыльковый
Опёнок серопластинчатый
Говорушка буро-жёлтая
Опёнок летний
Строфария говняная (Какашкина лысина)
Рядовка жёлто-красная
Чёрный груздь
Урнула бокаловидная
Млечник бледный
Волоконница репчатая
Аскокорине цилихниум
Млечник буро-желтый
Мицена наклонённая
Цезарский гриб дальневосточный
Волоконница трещиноватая
Коллибия пятнистая
Спатулярия желтоватая
Ишнодерма смолистая
Рядовка перевязанная
Сыроежка миндальная
Чешуйчатка огненная
Шампиньон Бернарда
Мухомор королевский
Рядовка серно-жёлтая
Микростома вытянутая
Шампиньон пёстрый
Маслёнок кедровый плачущий
Церипориопсис войлочно-опоясанный
Псевдохете табачно-бурая
Аскоболус навозный
Плютей Ромелля
Микромфале щербатая
Плютей разноцветный
Себацина инкрустирующая
Хромозера синепластинковая
Плютей оранжевоморщинистый
Ежовик чешуйчатый
Рядовка лиственная
Шампиньон кривой
Катателазма вздутая
Паутинник сизо-голубой
Мухомор толстый (мухомор коренастый)
Полёвка цилиндрическая
Гигроцибе алая
Лисичка желтеющая
Сыроежка охристая
Млечник блёклый
Подвишень
Рядовка исполинская
Шиитаке
Строчок осенний
Гебелома клейкая (Валуй ложный)
Сыроежка желтая
Дождевик грушевидный
Маслёнок лиственничный
Псилоцибе синеющая
Моховик каштановый
Лиофиллум симедзи
Шампиньон темно-красный
Гигрофор луговой
Шампиньон паровой
Звездовик бахромчатый
Строчок пучковый
Псатирелла бархатистая
Постия вяжущая
Цистодерма красная
Шампиньон Эссета
Фламмулина Фенны
Хлорофиллум агариковидный
Шампиньон темночешуйчатый
Цериопорус мягкий
Мицена игловидная
Стереум войлочковый
Тулостома зимняя
Гименохета красно-бурая
Навозник сахарный
Плютей Фенцля
Болетопсис серый
Бурая ржавчина пшеницы
Тарцетта бочковидная
Склеротиния клубневая
Мицена кровяноножковая
Трюфель гладкий чёрный
Звездовик увенчанный
Клитоцибула семейная
Трутовик лучистый
Шампиньон красноватый
Саркосцифа австрийская
Зонтик Конрада
Рамария обыкновенная
Трутовик ячеистый
Родотус дланевидный
Ежовик гребенчатый
Трутовик плоский
Гигрофор пятнистый
Боровик красивоокрашенный
Сыроежка буреющая
Рядовка землисто-серая
Горькушка
Козляк
Рядовка зелёная
Дождевик съедобный
Энтолома садовая
Ложноопёнок серно-жёлтый
Гиропорус каштановый
Трутовик серно-жёлтый
Опёнок зимний
Рогатик усечённый
Ежовик полосатый
Феллодон сросшийся (Ежовик сросшийся)
Поплавок желтеющий
Траметес пушистый
Говорушка блюдцевидная
Ксерула длинноногая
Трутовик древесный
Энтолома сизо-белая
Трутовик бугристый
Ксилярия длинноногая
Траметес Трога
Паутинник олений
Креолофус усиковый
Спинеллус щетинистый
Филлопорус красно-оранжевый
Волкартия
Симоцибе лоскутная
Крепидот уплощенный
Энтолома яркоокрашенная
Ганодерма смолистая
Мухомор шероховатый
Траметес жёстковолосистый
Маслёнок Клинтона
Плютей львино-жёлтый
Булгария инквинанс
Панеллюс мягкий
Панеллюс вяжущий
Лиофиллум панцирный
Гиднеллум голубой
Гигрофор Персона
Лопастник курчавый
Маслёнок рыжий
Сыроежка чешуйчатая
Белошампиньон краснопластинчатый
Паутинник светло-охристый
Ксилярия многообразная
Обабок чернеющий
Коллибия лесолюбивая
Паутинник пачкающий
Скутеллиния
Стереум жёстковолосистый
Гигрофор дубравный
Пецица подвальная
Эксидия сжатая
Лопастник чёрный
Цистолепиота семинуда
Экзобазидиум брусничный
Биссонектрия наземная
Гиднеллум оранжевый
Трюфель гималайский
Деконика Филлипса
Флебия радиальная
Негниючник нежнейший
Энтолома шершавоножковая
Лопастник длинноножковый
Кудония сомнительная
